SuspectID,CaseID,Name,Age,Gender,Arrested,Convicted
S1000,C1608,Michael Sullivan,59,Female,Yes,No
S1001,C1450,Bradley Rivas,35,Female,Yes,No
S1002,C2180,Alec Petty,37,Female,Yes,No
S1003,C1680,Thomas Hull,51,Female,No,No
S1004,C1993,Brett Campbell,25,Male,No,Yes
S1005,C2999,Lucas Frazier,59,Male,Yes,No
S1006,C2763,Martin Jones,41,Female,No,No
S1007,C1430,Jacqueline Farmer,67,Female,No,Yes
S1008,C2509,Molly Morris,31,Female,No,Yes
S1009,C2704,Nicole Parker,19,Male,Yes,Yes
S1010,C2912,Luke Mercado,53,Female,No,Yes
S1011,C1186,Cindy Rice,48,Female,No,No
S1012,C2804,Diana Glover,21,Female,No,No
S1013,C2271,Autumn Singleton,48,Male,Yes,Yes
S1014,C1920,Gregory Fernandez,54,Male,Yes,Yes
S1015,C2388,Benjamin Brown,20,Female,Yes,No
S1016,C1689,Allison Russell,44,Female,Yes,No
S1017,C1935,Olivia Nelson,26,Female,Yes,Yes
S1018,C1077,Jacqueline Freeman,41,Female,No,Yes
S1019,C2400,Sarah Green,39,Female,Yes,No
S1020,C1074,Robert White,30,Female,No,Yes
S1021,C1166,Joyce Richardson,47,Male,No,No
S1022,C2783,James Summers,29,Female,Yes,Yes
S1023,C1416,Kristopher Sanchez,32,Female,Yes,No
S1024,C2648,Jennifer Lopez,39,Male,No,Yes
S1025,C2768,Janet Howard,58,Male,No,No
S1026,C1592,David Mcclure,42,Female,Yes,Yes
S1027,C1000,Charles Smith,55,Male,Yes,Yes
S1028,C2104,Jose Edwards,64,Male,No,Yes
S1029,C1328,Linda Jacobs,55,Female,Yes,No
S1030,C2220,Ricardo Fields,37,Male,No,Yes
S1031,C2639,Laura Henderson,31,Male,Yes,Yes
S1032,C1572,Alexander Wu,51,Female,No,No
S1033,C1604,Dennis Mejia,30,Female,Yes,Yes
S1034,C1945,Shelly Sullivan,48,Male,Yes,No
S1035,C1797,Alyssa Clark,35,Male,No,No
S1036,C1946,Lance West,61,Male,No,No
S1037,C1919,Luke Faulkner,44,Male,Yes,No
S1038,C2165,Holly Hudson,51,Male,No,Yes
S1039,C1844,Andrew Robinson,57,Male,Yes,Yes
S1040,C2222,Jeffrey Cain,34,Male,Yes,Yes
S1041,C1558,Joel Lambert,39,Male,No,No
S1042,C1210,Katherine Forbes,42,Female,No,Yes
S1043,C2420,Felicia Best,68,Male,Yes,No
S1044,C2686,David Dillon,42,Female,No,Yes
S1045,C2664,Michael Barry,54,Male,No,No
S1046,C2269,David Rodriguez,25,Male,No,Yes
S1047,C2337,Sheila Meyers,50,Female,No,No
S1048,C2573,Richard Taylor,22,Female,No,Yes
S1049,C1229,Mark Taylor,27,Male,No,No
S1050,C2806,Ronald Roth,26,Male,Yes,No
S1051,C1698,David Clark,61,Male,Yes,Yes
S1052,C2730,Michael Bentley,50,Male,No,No
S1053,C1356,Garrett Williams,43,Female,No,Yes
S1054,C2682,Jennifer Ford,46,Female,No,Yes
S1055,C1247,Benjamin Bishop,51,Female,No,No
S1056,C1647,April Taylor,23,Male,Yes,Yes
S1057,C2013,Erika Prince,52,Male,Yes,No
S1058,C1380,Richard Harris,51,Female,Yes,Yes
S1059,C1487,Larry Harrell,29,Male,Yes,No
S1060,C1715,Eric Higgins,67,Female,No,No
S1061,C2157,Hector Norton,39,Female,Yes,No
S1062,C2301,Daniel Stephens,43,Male,No,No
S1063,C2206,Kelly Richardson,40,Female,Yes,Yes
S1064,C2405,Gina Nelson,19,Male,No,Yes
S1065,C1050,Sandra Pearson,23,Male,No,No
S1066,C1786,James Duke,36,Female,No,Yes
S1067,C2564,Katherine Coleman,33,Female,No,No
S1068,C2614,David Wilson,38,Male,Yes,Yes
S1069,C1080,Heather Cain,38,Male,Yes,No
S1070,C2210,Isaiah Pham,67,Female,Yes,No
S1071,C2833,Scott Mayer,53,Male,Yes,Yes
S1072,C2262,Ashley Cunningham,46,Female,Yes,Yes
S1073,C1540,Nathaniel Lopez,65,Female,No,No
S1074,C1600,Kathleen Cervantes,58,Female,No,Yes
S1075,C2288,Kenneth Garcia,19,Female,Yes,No
S1076,C1150,Lisa Blake,26,Male,Yes,No
S1077,C1636,Andrew Nelson,55,Male,No,No
S1078,C2104,Kurt Guerra,27,Female,Yes,Yes
S1079,C2679,Rebecca Herrera,47,Female,No,Yes
S1080,C1090,Antonio Nichols,70,Male,No,No
S1081,C2416,Michael Boyd,27,Male,Yes,No
S1082,C2768,Linda Ryan,56,Male,Yes,Yes
S1083,C2516,Eric Fox,33,Male,Yes,Yes
S1084,C2197,Denise Stewart,25,Male,Yes,Yes
S1085,C1507,Sarah Johnson,27,Male,No,No
S1086,C2080,Ray Fisher,44,Male,No,Yes
S1087,C1644,Melissa Payne,59,Female,Yes,No
S1088,C1106,Amanda Finley,22,Male,No,No
S1089,C2455,Craig Hernandez,20,Male,Yes,No
S1090,C2951,Jasmine Torres,40,Female,Yes,No
S1091,C2344,Karen Bailey,45,Male,Yes,Yes
S1092,C1251,Kevin Barron,44,Male,No,No
S1093,C2798,Daniel Mercado,52,Male,Yes,Yes
S1094,C1035,Jacob Ford,48,Male,Yes,No
S1095,C2168,Charles Hernandez,21,Male,No,Yes
S1096,C1532,Tamara Smith,39,Female,Yes,No
S1097,C2422,Amy Jensen,18,Female,No,No
S1098,C2245,Jennifer Chandler,38,Female,No,Yes
S1099,C2775,Bryan Rojas,19,Female,Yes,Yes
S1100,C2352,Michael Quinn,20,Male,No,Yes
S1101,C1245,Nicholas Yu,58,Male,Yes,No
S1102,C1887,Bryce Lee,36,Female,No,No
S1103,C1437,Martha Brown,31,Male,Yes,No
S1104,C2518,Tammy Thomas,28,Female,Yes,Yes
S1105,C2141,Sean Ferguson,45,Female,No,Yes
S1106,C1264,Victoria Howard,36,Male,Yes,Yes
S1107,C1677,Emma Neal,21,Male,Yes,Yes
S1108,C1227,Gary Dawson,64,Male,Yes,Yes
S1109,C1772,Michael Williams,57,Female,Yes,No
S1110,C1209,Tanya Hawkins,30,Male,Yes,Yes
S1111,C1016,Aaron Barnett,54,Female,No,No
S1112,C2803,Brent Williams,56,Male,No,No
S1113,C1215,Dominic Hines,28,Male,Yes,No
S1114,C1319,Tamara Silva,18,Male,No,Yes
